Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946 Č.41,3920764,1946,zpravodajský film,KF-DP 17897,KF-DP 17897,2016,Barrandov,HD telecine,"689,20",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946 Č.46,3920769,1946,zpravodajský film,KF-DP 017901,KF-DP 017901,2015,Barrandov,HD telecine,"703,160000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946 Č.51,3920774,1946,zpravodajský film,KF-K 17905,KF-K 17905,2016,Barrandov,HD telecine,"651,04",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1946, Č. 36",3920759,1946,zpravodajský film,KF-K 017910,KF-K 017910,2016,Barrandov,HD telecine,"919,08",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1947 Č. 1,3920823,1947,zpravodajský film,KF-K 028222,KF-K 028222,2015,Barrandov,HD telecine,"573,440000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1947 Č. 28,3920860,1947,zpravodajský film,KF-K 022562,KF-K 022562,2015,Barrandov,HD telecine,"559,080000",,
"ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1947, Č. 15",3920833,1947,zpravodajský film,KF-K 028231,KF-K 028231,2015,Barrandov,HD telecine,"518,040000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1948 Č.32,3920991,1948,zpravodajský film,KF-K 28465,KF-K 28465,2016,Barrandov,HD telecine,"557,04",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1948 Č.37,3928014,1948,zpravodajský film,KF-K 45551,KF-K 45551,2016,Barrandov,HD telecine,"634,04",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1948 Č.38,3928015,1948,zpravodajský film,KF-K 45550,KF-K 45550,2016,Barrandov,HD telecine,"581,52",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1948 Č.46,3921003,1948,zpravodajský film,KF-K 28476,KF-K 28476,2016,Barrandov,HD telecine,"842,04",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949 Č. 16,3921328,1949,zpravodajský film,KF-DP 028686,KF-DP 028686,2015,Barrandov,HD telecine,"630,200000",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949 Č.08,3921320,1949,zpravodajský film,KF-K 28678,KF-K 28678,2016,Barrandov,HD telecine,"640,08",,
ČESKOSLOVENSKÉ FILMOVÉ NOVINY 1949 Č.11,3921323,1949,zpravodajský film,KF-K 28681,KF-K 28681,2016,Barrandov,HD telecine,"684,04",,
